"Freq [GHz]","DG12 []","DG13 []","DG14 []","DG23 []","DG24 []","DG34 []"
5.92,9.99999808545027,9.93067548907759,9.99999765045129,9.99999686287051,9.93206880383873,9.99999786183603
5.94,9.99999846967251,9.93203396711542,9.99999800302905,9.99999738430477,9.93342664629596,9.9999982710242
5.96,9.99999857204307,9.93333975506311,9.99999803107691,9.99999750619629,9.93477738776459,9.99999838077305
5.98,9.99999874142713,9.93550282449117,9.99999816636541,9.99999774395232,9.93700456273684,9.99999857575152
6,9.99999918342437,9.939409448308,9.99999871547928,9.99999843369842,9.94094330421783,9.99999907886204
6.02,9.99999971359477,9.94530762145622,9.99999947641905,9.99999934272803,9.94679519921639,9.99999967637087
6.04,9.99999997447312,9.95265739103934,9.99999992714006,9.99999989566349,9.95400578346938,9.99999997045907
6.06,9.99999999999754,9.96058864727976,9.99999999992654,9.99999999959013,9.96172103695542,9.99999999999975
6.08,9.99999992441183,9.96843283244552,9.99999997210547,9.99999998421348,9.96929951611496,9.99999992519739
6.1,9.99999867111792,9.9758979554568,9.99999914350081,9.99999933156204,9.97647567323237,9.99999864213005
6.12,9.99999244937528,9.98291709924588,9.99999426574883,9.99999511334074,9.98321289048011,9.99999222830009
6.14,9.99997566295006,9.98936060580465,9.99998032573774,9.9999824874849,9.98942530318635,9.99997493566979
6.16,9.99995371167847,9.99477392989001,9.99996233017052,9.99996541415866,9.9947094723666,9.99995250870659
6.18,9.99995763055161,9.99836148450812,9.99996727069387,9.99996879588436,9.99829073233269,9.99995679835789
6.2,9.9999848211697,9.99976768736598,9.99998982617223,9.99998946780975,9.99974704622879,9.99998447341057
6.22,9.99999722484495,9.99999192873087,9.9999985364029,9.99999816941386,9.99999093951154,9.99999707364125
6.24,9.99999950696409,9.99999999999555,9.99999978442295,9.99999963884535,9.99999999999562,9.99999946370336
6.26,9.99999987581231,9.99999888951811,9.99999994028759,9.99999987193137,9.99999861936404,9.99999987080149
6.28,9.99999995227253,9.99999327997207,9.99999996786753,9.99999992441547,9.99999207579811,9.99999995752774
6.3,9.99999997284753,9.99998917608947,9.99999997465816,9.99999994156451,9.99998783122418,9.99999998069022
6.32,9.99999997916773,9.99999025266964,9.99999997699018,9.99999994986064,9.99998954135705,9.99999998805032
6.34,9.99999998100028,9.9999937263771,9.99999997869561,9.99999995594354,9.99999355920924,9.99999999069105
6.36,9.99999998156714,9.99999677621099,9.99999998090241,9.99999996182821,9.99999682331636,9.99999999179238
6.38,9.9999999823894,9.9999986076963,9.99999998385376,9.9999999681362,9.99999867940126,9.99999999253958
6.4,9.99999998425261,9.9999994859117,9.99999998739782,9.99999997491425,9.99999952962176,9.99999999347482
6.42,9.9999999873305,9.99999983908219,9.99999999116161,9.99999998185158,9.99999985779312,9.99999999479312
6.44,9.99999999121412,9.9999999587693,9.9999999946591,9.99999998837806,9.99999996480875,9.99999999640468
6.46,9.99999999507769,9.99999999197984,9.9999999974184,9.9999999938038,9.99999999340151,9.9999999980041
6.48,9.99999999803173,9.99999999899239,9.99999999914386,9.99999999755169,9.99999999920533,9.9999999992223
