"cut1 [mm]","Wo1 [mm]","Freq [GHz]","dB(S(1,1)) []"
1.5,14,5.02,-5.42017857195207
1.5,14,5.04,-6.14312552028391
1.5,14,5.06,-7.01900516742958
1.5,14,5.08,-8.09739663854096
1.5,14,5.1,-9.4540496411435
1.5,14,5.12,-11.2143299780204
1.5,14,5.14,-13.6116119365165
1.5,14,5.16,-17.1683164100743
1.5,14,5.18,-23.4806539115464
1.5,14,5.2,-30.2842939772226
1.5,14,5.22,-20.2577084803368
1.5,14,5.24,-15.2311179817363
1.5,14,5.26,-12.0947239533051
1.5,14,5.28,-9.87320088552121
1.5,14,5.3,-8.20002728066585
1.5,14,5.32,-6.89712787155015
1.5,14,5.34,-5.86290302607197
1.5,14,5.36,-5.03268078514374
1.5,14,5.38,-4.3620047412362
1.5,14,5.4,-3.81862841009114
1.5,14,5.42,-3.37828326467067
1.5,14,5.44,-3.02224251772025
1.5,14,5.46,-2.73580704792206
1.5,14,5.48,-2.50729935832154
1.5,14,5.5,-2.32735765614486
1.5,14,5.52,-2.18841982369436
1.5,14,5.54,-2.08433535009243
1.5,14,5.56,-2.01006816941012
1.5,14,5.58,-1.96146675634393
1.5,14,5.6,-1.93508544229905
1.5,14,5.62,-1.92804548580323
1.5,14,5.64,-1.93792732150015
1.5,14,5.66,-1.96268730974248
1.5,14,5.68,-2.00059357293276
1.5,14,5.7,-2.05017632978238
1.5,14,5.72,-2.11018863119502
1.5,14,5.74,-2.17957361679375
1.5,14,5.76,-2.2574343703067
1.5,14,5.78,-2.3430021553962
1.5,14,5.8,-2.43559825929891
1.5,14,5.82,-2.53458389703774
1.5,14,5.84,-2.63929179198156
1.5,14,5.86,-2.74893258326229
1.5,14,5.88,-2.86247008709984
1.5,14,5.9,-2.9784635158415
1.5,14,5.92,-3.09488506402968
1.5,14,5.94,-3.20894163563639
1.5,14,5.96,-3.31696226713387
1.5,14,5.98,-3.41445295696273
1.5,14,6,-3.49644626143334
1.5,14,6.02,-3.55824029048208
1.5,14,6.04,-3.59648405355327
1.5,14,6.06,-3.6103341927891
1.5,14,6.08,-3.60221263097088
1.5,14,6.1,-3.57773877233394
1.5,14,6.12,-3.54476539767661
